label,text,title
eating-disorders,"I have no self control over food. Most people stop when they've had enough, but I keep eating for the pleasure of it. Especially with sweets - I'm never done eating dessert.",How can I train myself to stop eating when I'm full?
substance-abuse,"I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental.
 I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?",I'm addicted to smoking. How can I stop?
grief-and-loss,What can I do to stop grieving my mother’s death? When I am awake I just cry every day. I don't have anyone to talk to. I need help; I am still cry over her. Will I ever stop crying? It’s been 3 years.,How do I stop grieving my mother’s death?
sleep-improvement,"It takes me a long time to fall asleep; I’d estimate about two hours. I often have nightmares, starting with being eaten by a monster, and I often wake up frightened and unable to breathe.I believe I started losing sleep after breaking up with a girlfriend of 8 years. Also, my father’s business went bankrupt and my mother has a chronic condition. I was under a lot of stress, and life lost meaning.After improving my life and developing a habit of running and exercise to release stress, my symptoms improved. However in the past couple months, I started losing sleep again and having nightmares without warning. How can I solve this issue?",I’ve suffered from insomnia and nightmares for about 3 years
anger-management,I easily recognize this but have no control over it and need suggestions for managing my anger.,I have anger issues. I am extremely explosive about the simplest things
domestic-violence,Now I have anger and trust issues. How can I treat this and fix myself?,I endured sexual and physical abuse by my brother as child
spirituality,"In particular during family gatherings (such as funerals), where there are different customs.",My son and family has different views about religion. How do I resolve these differences?
workplace-relationships,Does this go against any ethical codes? Are there legal ramifications?,Is it unethical to have a relationship with a fellow counselor?
trauma,"As a child, my parents injured my brother, so they went to prison. I was there when he had gotten hurt, but I can't seem to remember. I also can't remember being with them quite well. It's a blur.",How can I unblock my memories?
relationships,"With college over, my boyfriend and I have such different work schedules. Since I can't see him often, I want to talk more on the phone. He plays video games while talking to players, so often I feel ignored. I find myself always telling him what to do in relation to me, things he should know.",How can I address my grievances to my boyfriend?
family-conflict,"We just cannot seem to get along. I cannot have a conversation with her without it turning into World War 3. She treats me like I have no right to an opinion and never really lets me speak. My real mother cares and tries to help me, but she can't do much, because my adoptive mother won't listen to her either.",How can I create a better relationship with my adoptive mother?
family-conflict,"I have a mother who is still running my life even though I'm almost 30 years old. I want to move out and live my own life, but it feels like as long as I do what my mom wants our relationship is okay. It's never okay if I don't do what she wants.  I don't know how to start making my own decisions and not worry about whether it's right in her eyes. Would it help for me to talk to someone about this?",I want to make my own decisions
intimacy,"A few years ago I was making love to my wife when for no known reason I lost my erection,  Now I'm In my early 30s and my problem has become more and more frequent. This is causing major problems for my ego and it's diminishing my self esteem. This has resulted in ongoing depression and tearing apart my marriage.  I am devastated and cannot find a cause for these issues. I am very attracted to my wife and want to express it in the bedroom like I used to.  What could be causing this, and what can I do about it?",Why am I experiencing dfficulty maintaining an erection?
intimacy,"I have been married for 11 years. Within the past 2 years we have drifted far apart. We coexist together but there is very little personal interest in each other. I often feel that my husband has ""friends"" at work that he is more emotional invested in than me. I feel very alone and just uncared for. Is there anything I can do to feel reconnected?",I feel completely alone in my marriage
intimacy,"I know that I need to get past my feelings for this person I fell in love with, but t's so difficult to move on because he showed me feelings I've never felt before.  I feel like I don't want to be without my genuine love for him, but logically, I know I need to be without him. I can't discuss this with anybody in my life because the conditions surrounding our love are considered ""wrong"" by a lot of people.
 How can I get myself to just move on?",How do I get over a person I fell in love with?
trauma,I did some horrible sexual things as a kid and I regret everything. Can someone help me cope with myself? Can someone help me remember my past?,How do I remember and deal with things I did as a kid?
trauma,"I was raped repeatedly when I was younger. I told my parents and action was taken, but now that I’m an adult, I suffer from extreme anxiety.",Could a rape that happened years ago be the cause of my anxiety?
trauma,"I was raped by multiple men, and now I can't stand the sight of myself. I wear lingerie to get my self excited enough to have sex with my wife.",How do I get my sex drive back after my rape?
relationship-dissolution,"I want a secure relationship with someone that wants to be with me and who will actually put effort into it.
I seem to gravitate toward unavailable men and those that want intimacy and no relationship. I let men dictate and control me because they accuse me of being controlling. I let men emotionally abuse me and I am at their beck and call.
I am not comfortable being alone or doing anything by myself. I feel I need the security of someone being around just to survive. I know what I'm doing wrong and I do it anyway just hoping things will change. How do I stop this behavior and thought process?",How do I break an unhealthy relationship pattern?
marriage,"I have no sex drive due to medical issues. I’ve shut down completely and closed everyone out. I’ve even told my husband that I wanted a divorce since that’s what I thought he wanted to hear. However, it devastated me when I learned he's seeing someone else.
I’ve since told him that I wanted to work things out but he’s not sure I actually mean it. He thinks the only reason I want him back is because I’m jealous. How do I show him I’m serious?",I'm losing my husband because my lack of sex drive
intimacy,"I went to my ex-boyfriend to reach out to one of his high school friends who's attempted to commit suicide. When I went to him to reach out to his high school friend, he told me that I put him in a terrible position and put an enormous load on his shoulders. He was very angry that I went to him to do that. Am I in the wrong for going to him to reach out? He helped me so much with my depression and bad habits, so that's why I thought of him to reach out. He made me feel awful for thinking highly of him to help. Why did he react this way towards me? I think he's being selfish.",Why is my ex-boyfriend upset with me?
intimacy,"He is always telling me our fights are only and all my fault, he bashes me to our young child, and he is addicted to a few substances.",What's the best way to handle my spouse's narcissism and bipolar disorder?
intimacy,"My husband had an emotional affair with his ex-wife in November. She invited him to dinner, alone, with their daughter. I wasn’t aware of this until after 11pm when I asked where he was. He had been drinking, and I told him not to come home that night. The next morning, we talked about going to counseling. He went out that night with friends and said his ex-wife wasn't going. I found out in April that she did go. I gave him the chance to get everything out in the open. I found out that he stayed that second night with her. I asked if they slept in the same bed, and he said yes, both nights. His daughter wasn't there the second night. He claims they didn't have sex, but what else should I think?",What should I do about my husband's emotional affair with his ex-wife?
parenting,"What makes my step child, an 8 year old boy, choke my daughter, a 6 year old girl? This has been going on for 4 years. The boy tells my daughter not to tell on him. He knows it's wrong; we have did time out, spanking, taking away toys, and sitting on the wall. I am afraid for my daughters safety!",How do I stop my step child from hurting my biological child?
relationships,"I have an emotionally abusive relationship. We have been together for a year and a half. He got out of prison exactly a year ago and a half ago, and we have a infant. I love my boyfriend, and I don't want to leave without fighting for this first. He's an emotionally disconnected person. We never say “I love you” to each other. Every fight is worse than the last one, and I don't know what to do. He doesn't let me speak because he's louder than me, and that makes me feel frustrated. I have another problem: English is my second language. I pay half of the bills, and every time I want to speak to him, he kicks me out of the house. He apologizes sometimes. I feel like I'm the only one fighting for this. He agreed to have counseling.",How can I help my boyfriend's anger issues?
relationships,I'm having relationship problems and I want to fix them to make things right before I lose her. How can I learn how to listen and get myself together?,I want to become a better man
family-conflict,"I started dating my fiancé two years ago. My first cousin is married to my fiancé’s sister. There has always been a communication issue between my uncle and aunt and my cousin and his wife. My uncle goes to my mom instead of talking to my cousin, and it upsets my mom.",How can I avoid becoming wrapped up in family issues and control my anxiety about them?
family-conflict,"It happens especially at me and my sister, and then she gets emotional and brings up the past. How should I deal with it? She is always stressed about her work and doesn't put her family first.",Is it normal for my mom to get mad easily?
intimacy,"I am married, but I had sex with my friend. I feel guilty, but I feel not guilty too. Do I need to feel guilty? It's my body, and I have full rights to do what I like.","I cheated on my partner, and I don't know how to feel"
intimacy,"There are intimate things she did early in the relationship, and things she had once agreed to try that she will not do now. I end up thinking about it all day. I feel rejected and think I married the wrong person.",My wife won't do things she used to do
intimacy,"We have been together over a year. We spend time together every day no matter how busy. He started to be unusually fatigued and losing weight. He also began to be distant and sexually selfish. We had a argument, and he confided he has late stage stomach cancer. He wont treat it.",What should my boyfriend and I do to cope with his cancer?
intimacy,"We have been together over a year. We spend time together every day no matter how busy. He started to be unusually fatigued and losing weight. He also began to be distant and sexually selfish. We had a argument, and he confided he has late stage stomach cancer. He wont treat it.",What should my boyfriend and I do to cope with his cancer?
intimacy,"I'm feeling rejected and frustrated. This is not new. The first month we were together, sex was about every day. Then it slowed down to once a month right away. I love my husband, but I am struggling with this.",My husband only has sex with me once a month or less
intimacy,"I am so terrified of having sex anymore because I have been told over and over that sex is dangerous even though me and my partner used both forms of protection. My partner is not happy about this and simply wants more sex, and honestly, I want to give that to her.",How can I get over my fear of accidental pregnancy to have sex again?
intimacy,"I have cheated on my husband of five years roughly ten times. I pretend we aren't married at my work. Recently, he has caught on, but I lie to cover it. He use to talk to girls online, but I have caught myself constantly having a affair.",Should I get a divorce?
self-esteem,"My dad refuses to acknowledge my anxieties about going to parties, dinners, etc. Whenever I have an opinion it gets shut down. My mom and everyone else behaves likewise. For my father who heads a company, this is normal. He has to be right all the time. He blatantly refuses to even try to see it from my angle.  Recently however, it's been getting to the point where I feel pressured and unable to speak my mind. It isn't possible for me to get professional one-on-one help. He tells me to grow a pair and get over it. I recently have been developing more severe body image and self-confidence issues, which I have had all my life. I feel invalidated by my dad. I have been more paranoid lately as well. I can't turn on location services anymore on my phone because of a past incident. He makes me feel guilty about it. I feel rather worthless more often than not, unfortunately. What do I do?",What can I do if my parents refuse to acknowledge my anxiety and self-confidence issues?
self-esteem,"A few nights ago I talked to this girl I know about my self esteem issues for the first time. We talked for hours and she told me time and again that I was a great guy. She told me I was attractive, and have a great personality, etc. I really started to feel better about myself by the time I woke up the next morning.Now, though, I can't stop thinking about her, but I leave to go back to college in a few days and I go to school 4 hours away from her. So now I feel constantly depressed because even if I told her how I felt it wouldn't matter. I feel helpless and I don't know what to do.",I'm a 19 year old male with low self esteem. I've always been very closed off about my feelings and problems
family-conflict,"I have secrets in my mind, and I don't know what to do with them. I don't want to tell my wife and mom because I don't want to hurt them. But I'm not sure how long that I can keep the secret to myself.What should I do? It's becoming annoying and making me anxious. Help me out",Keeping secrets from my family
family-conflict,"The last of my emotions belong to my pets. Today my dad said he might get rid of them tomorrow. If that does happen I might dig hole in the ground with a paper that says ""here lays my emotions. R.I.P."" I practically have no emotions left and I came to the realization about this not being normal by comparing my reaction to certain situations to my family's. What's wrong with me?",My parents are threatening to get rid of the only things I still care about
family-conflict,Now I have anger and trust issues. How can I treat this and fix myself?,I endured sexual and physical abuse by my brother as child
intimacy,"I have no sex drive due to medical issues. I’ve shut down completely and closed everyone out. I’ve even told my husband that I wanted a divorce since that’s what I thought he wanted to hear. However, it devastated me when I learned he's seeing someone else.
I’ve since told him that I wanted to work things out but he’s not sure I actually mean it. He thinks the only reason I want him back is because I’m jealous. How do I show him I’m serious?",I'm losing my husband because my lack of sex drive
intimacy,My boyfriend can't get over my promiscuous past. He says he loves me but says the thought of my past is disgusting and a sexual distraction. He says he should have had more sex with different people. I don't know how to handle this.,What should I do if my boyfriend can't get over my past?
intimacy,I have this weird fetish that I'm afraid to open up about it. What should I do?,How do I deal with a weird fetish I'm afraid of opening up about?
intimacy,I'm a 40 year old male and having erection problems. Still have the desire for a woman. Awfully frustrated. Any suggestions? My Doc doesn't want to discuss it.,Any suggestions for erection problems?
intimacy,"When having sex I think of other men and want other men all day long. Been married 3 years, together 14. What do you think?",I tell my husband I love him. But I don't believe it or feel it
intimacy,We make love once per month. Is it normal?,My wife and I have been married for over 3 years and we're tired of having sex
family-conflict,"I'm having issues with my relative. The police never believe the experiences I have been through because I am only a kid. 
 I've even had trouble trying to reach a therapist because I said I wanted to get an adult to help me. Could you please give me advice?",Where does a child go for help?
family-conflict,"My dad refuses to acknowledge my anxieties about going to parties, dinners, etc. Whenever I have an opinion it gets shut down. My mom and everyone else behaves likewise. For my father who heads a company, this is normal. He has to be right all the time. He blatantly refuses to even try to see it from my angle.  Recently however, it's been getting to the point where I feel pressured and unable to speak my mind. It isn't possible for me to get professional one-on-one help. He tells me to grow a pair and get over it. I recently have been developing more severe body image and self-confidence issues, which I have had all my life. I feel invalidated by my dad. I have been more paranoid lately as well. I can't turn on location services anymore on my phone because of a past incident. He makes me feel guilty about it. I feel rather worthless more often than not, unfortunately. What do I do?",What can I do if my parents refuse to acknowledge my anxiety and self-confidence issues?
family-conflict,,How do I overcome being jealous of my boyfriends mother?
