,labels,content
0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",How do I deal with my alcoholic boyfriend with a dark past? + We're in an eight year relationship. My boyfriend drinks a lot. He experienced childhood trauma. I don't know how to deal with violent outbursts.
1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",How can I slow down and enjoy life? + I feel like my time is going too fast
2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","I'm depressed because my wife is divorcing me and I haven't seen my child in a while + I'm going through a divorce with my wife of three years, who I've known since the 4th grade and been involved with for seven years! We just had a baby seven months ago and never got along with my mother, who I've lived with for years. I am now back with my mother because I have nowhere to go with this divorce looming. I'm heart broken because I fell into a depression, I haven't seen my child in a while, I'm having good and bad dreams, and I feel hated. Can you help? Can you intervene? Can I speak with someone?"
3,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","I'm scared to go to a doctor or take anti-depressants + A friend of mine taking psychology advised I go to my doctor to check if I have major depressive disorder. I'm afraid of the consequences of doing so. If I do become diagnosed with major depressive disorder, won’t that go on my records? I will never be able to become a counselor along with a list of other things I may be prohibited from. I’m also afraid of taking any anti-depressants. This year, my doctor gave me some for a ""dislocated hip."" I had a severe reaction and passed out moments after taking them. Everyone I know who has taken anti-depressants says it’s a bad idea all around and you’re better getting treatment without them. I’m concerned they might take me to a clinic and force me to take medication because I am unable to make decisions on my own. I’m not really suicidal, but I am not really taking care of myself either. Someone also told me they still use electroshock therapy. I’m not keen on that. I’m wondering if I am better off just getting self-help and working things out on my own. It’s just that I've been an emotional mess since I was in elementary school. I’ve graduated now and tried to stay positive and be happy, but I cannot deny I still am not good."
4,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","Is it normal to blame myself for someone else's actions? + I'm a teenage girl, and my dad is an alcoholic. I hate being at home with him because he just stresses me out. He can be picking me up from basketball practice or piano lessons, and half of the time, I don't even know if he's sober or not. I refuse to get into the vehicle with him and walk home sometimes. I've either been barely sleeping or I over sleep, so I'm always tired. I live in a small town, so there's no one I can really talk to because I'm not really that close with my family."
5,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",Why do I feel sad all the time? + I just feel sad all the time and I don't like anyone in my family. I feel like they're trying to control me and won't let me grow.
6,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","Why am I so nervous talking to people? + Whether it's to a guy or girl, I always feel insecure talking, and I am afraid of embarrassing myself and not being good enough. Even when I am walking, I worry about my appearance and facial expression and such."
7,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How can I get over my posttraumatic stress disorder without my parents knowing about it? + I've had posttraumatic stress disorder for years without my parents ever finding out. I want to overcome it, but it’s so vivid, it’s like it’s happening again. I'm scared and paranoid. I have depression, which I have been struggling with since a young age."
8,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","I want to be a boy but I can't because of my religion + I was born a girl, but I want to be a boy. Because of my religion I can't tell my family. I know they won't accept me. What do I do?"
9,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","My past is holding me back from my future. How can I get my life back? + There are issues from my past that have me very heavily burdened in my heart. I've been torn for so many years and I need help so I can move on with my life.
 I experienced trauma when I was 8 years old and I did come out about it until I was 40.
 Now I know this is what's holding me back on my happiness. I've met a very loving and caring man but because I'm holding on to these things from my past I’m pushing him away.
 How can I get my life back?"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","Why don't I feel normal? + I don't feel like myself anymore. For example, I could walk up an entire flight of stairs before realizing that my legs are moving. I feel like I’m watching my life be lived by someone else."
